,Unnamed: 0,feature,class_label
6873,6873,"[[-240.03438561 -210.16522902 -177.37081336 ... -265.19855446
  -272.70379947    0.        ]
 [ 107.48209544  115.55934355  111.63336313 ...  104.35317048
    98.84821773    0.        ]
 [ -11.02120734  -43.90319425  -76.63072933 ...   11.74715054
    16.67720325    0.        ]
 ...
 [  -5.20495163   -3.1945986     1.02942378 ...    0.37773196
     5.57866262    0.        ]
 [  -4.42616866   -3.79121458   -4.91415443 ...   -4.43631493
     0.38875638    0.        ]
 [   2.98442725    4.23886535    3.00303497 ...   -1.40646919
    -1.58957148    0.        ]]",noise
6874,6874,"[[-268.74001043 -265.88649605 -267.95870793 ... -269.90865677
  -274.4964984     0.        ]
 [  81.55875092   89.3478206    90.82548074 ...   97.95616319
    95.3818555     0.        ]
 [  33.61907853   32.53544453   23.43199093 ...   26.05834031
    23.99509005    0.        ]
 ...
 [  -2.05083669    1.43198489    2.28956204 ...    3.24587071
     3.40953469    0.        ]
 [  -2.5680174     0.82282432    1.40377617 ...   -2.701913
    -2.37511497    0.        ]
 [   2.38342441    3.72908558    1.78875453 ...   -0.86844054
     1.49661094    0.        ]]",noise
6875,6875,"[[-1.92412181e+02 -2.01078268e+02 -2.26776987e+02 ... -2.64897011e+02
  -2.67602678e+02  0.00000000e+00]
 [ 7.11432763e+01  7.73757398e+01  8.82259275e+01 ...  1.11076868e+02
   1.05423047e+02  0.00000000e+00]
 [-2.90314384e+01 -2.53632360e+01 -1.60807614e+01 ...  3.02924679e+01
   3.16348984e+01  0.00000000e+00]
 ...
 [ 1.43407296e-01 -1.49006446e+00 -5.24985529e-01 ... -6.24761644e-01
  -5.53047860e+00  0.00000000e+00]
 [-3.98427106e+00 -5.17914158e+00 -4.83027758e+00 ... -1.56326312e+00
  -4.81228237e+00  0.00000000e+00]
 [ 4.75291583e+00  9.08037960e-01 -1.96826886e+00 ...  2.27717328e+00
  -2.30544620e+00  0.00000000e+00]]",noise
6876,6876,"[[-2.67074352e+02 -2.64414491e+02 -2.70127862e+02 ... -1.57331658e+02
  -1.14652224e+02  0.00000000e+00]
 [ 1.07053490e+02  1.08105162e+02  1.05656004e+02 ...  5.30428611e+01
   3.97445913e+01  0.00000000e+00]
 [ 2.98153930e+01  2.81971562e+01  2.83004637e+01 ... -5.95505718e+01
  -5.88116391e+01  0.00000000e+00]
 ...
 [ 1.74485937e+00  4.29552040e+00  6.56924209e+00 ... -4.30200379e+00
  -3.35678728e+00  0.00000000e+00]
 [-1.36850448e+00 -1.86588663e+00 -4.09687836e+00 ... -4.48835176e+00
  -6.98952768e+00  0.00000000e+00]
 [-3.21537358e+00  9.65970676e-03  4.41117290e-01 ...  2.30542022e-01
   2.08634443e+00  0.00000000e+00]]",noise
6877,6877,"[[-1.35013066e+02 -1.37407194e+02 -1.47801295e+02 ... -2.30370381e+02
  -2.37774904e+02  0.00000000e+00]
 [ 5.12439928e+01  5.84461938e+01  5.88680489e+01 ...  9.73135279e+01
   9.06024993e+01  0.00000000e+00]
 [-6.94134297e+01 -6.88737000e+01 -7.16374445e+01 ... -1.00655752e+00
   2.97711633e+00  0.00000000e+00]
 ...
 [-1.43099435e+00 -2.83878922e+00 -2.52734443e+00 ...  2.40317949e+00
   1.34737094e+00  0.00000000e+00]
 [ 4.61566830e+00  1.97275876e+00 -2.81493761e+00 ... -1.63312863e+00
  -3.99281112e-02  0.00000000e+00]
 [ 2.31676709e+00 -3.01043376e+00 -4.25074145e+00 ... -2.53149530e+00
  -4.17889169e+00  0.00000000e+00]]",noise
6891,6891,"[[-5.92190859e+02 -4.50537341e+02 -3.75182486e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 3.94753550e+01  1.29007056e+02  1.46215715e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 2.94502644e+01  1.55628250e+01  1.32346262e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [ 7.85248946e-01  1.18004309e+00  2.62898435e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 8.38824312e-01  5.38288354e-01  2.99982350e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 1.79138262e+00  7.08505089e+00  4.30184398e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",noise
6892,6892,"[[-376.14782605 -391.22903045 -408.47127192 ...    0.
     0.            0.        ]
 [ 123.02194904  141.50345794  157.27271508 ...    0.
     0.            0.        ]
 [  46.62063367   34.55566268   14.58615918 ...    0.
     0.            0.        ]
 ...
 [   1.07831849    0.9769555     1.2370106  ...    0.
     0.            0.        ]
 [   0.84444225    3.51365083    4.43396628 ...    0.
     0.            0.        ]
 [   1.34315477    3.76868817    7.89330062 ...    0.
     0.            0.        ]]",noise
6893,6893,"[[-388.53580424 -398.53205999 -404.1680421  ...    0.
     0.            0.        ]
 [ 145.54741449  161.33959304  170.11809727 ...    0.
     0.            0.        ]
 [  41.62592333   31.64591945   13.69438782 ...    0.
     0.            0.        ]
 ...
 [  -2.86703913   -2.78814463   -3.17380285 ...    0.
     0.            0.        ]
 [  -1.99600594   -2.61506797   -4.37829418 ...    0.
     0.            0.        ]
 [   4.52041098    0.70807273   -4.3473743  ...    0.
     0.            0.        ]]",noise
6894,6894,"[[-125.74653539 -130.89107783 -144.72816843 ... -130.1789646
  -118.60959237    0.        ]
 [ 140.31338289  153.14773326  159.6728497  ...  121.55975732
   102.29556053    0.        ]
 [-117.83905837 -129.23966075 -140.44109901 ... -109.8489235
   -97.14323932    0.        ]
 ...
 [   7.39373305    6.1731709     5.70110245 ...   -5.08024738
    -0.21977589    0.        ]
 [   5.97042739    2.31099573   -4.94646244 ...   -5.96636043
    -2.04890876    0.        ]
 [  -3.84454247   -4.81181692   -2.48812621 ...  -10.26709494
    -9.57572991    0.        ]]",noise
6895,6895,"[[ -89.58916537  -94.76443545 -114.93462017 ...  -90.32670715
   -85.93563834    0.        ]
 [  92.62940634   97.71453015  117.03107468 ...  103.4152583
    87.0307243     0.        ]
 [ -87.81013476  -97.03944052 -123.03984354 ... -100.273327
   -86.85521349    0.        ]
 ...
 [   0.57950004   -2.36083642    0.57255616 ...   -1.28668665
    -2.07842353    0.        ]
 [  -6.52618286   -6.64436599   -7.30133722 ...    5.54473265
     5.19420103    0.        ]
 [   0.91317732    1.10118958   -2.76646203 ...   -4.42231918
    -4.86024145    0.        ]]",noise
6896,6896,"[[-1.18242193e+02 -1.18971978e+02 -1.39748333e+02 ... -1.15216841e+02
  -1.14085538e+02  0.00000000e+00]
 [ 9.12391076e+01  1.05869361e+02  1.45697206e+02 ...  1.34542058e+02
   1.24460059e+02  0.00000000e+00]
 [-8.64567525e+01 -9.47203059e+01 -1.22818701e+02 ... -1.05989758e+02
  -9.52189170e+01  0.00000000e+00]
 ...
 [-1.32580036e+00  2.20600298e+00  2.05632423e+00 ...  1.02688425e+00
   5.83045920e+00  0.00000000e+00]
 [-8.84422135e+00 -4.53924558e+00  4.27814028e+00 ...  4.73433088e-02
   9.39709496e-01  0.00000000e+00]
 [-6.16462625e-01 -1.73512625e+00 -7.97680308e+00 ... -2.10452693e-01
  -1.18985605e-01  0.00000000e+00]]",noise
6897,6897,"[[ -78.85726409  -77.88981036  -98.74238686 ... -124.54068175
  -115.40072743    0.        ]
 [  77.31069564   89.92333734  119.79052433 ...  132.51451434
   117.31076067    0.        ]
 [ -92.53485813  -97.72466843 -124.41699708 ... -112.32421845
  -101.21242938    0.        ]
 ...
 [  -1.73146596   -3.04206046   -5.36337471 ...    1.7762632
     4.67654561    0.        ]
 [   0.20337531    0.45704355    1.09315752 ...   -1.18652868
     1.18617539    0.        ]
 [   2.98954776   -2.60373839   -9.01590595 ...   -5.03503417
     1.26958981    0.        ]]",noise
6898,6898,"[[-1.07500903e+02 -1.05437516e+02 -1.23846594e+02 ... -1.33383056e+02
  -1.30534508e+02  0.00000000e+00]
 [ 9.48371636e+01  1.11069664e+02  1.46091523e+02 ...  1.40977011e+02
   1.24020924e+02  0.00000000e+00]
 [-8.11350603e+01 -9.02167783e+01 -1.25743985e+02 ... -1.22388586e+02
  -1.07438026e+02  0.00000000e+00]
 ...
 [ 1.02764063e-01  9.03625683e-02  3.34581774e+00 ... -4.87522090e+00
   1.77348736e+00  0.00000000e+00]
 [ 1.92420656e+00  2.37194945e+00  4.55938803e+00 ... -3.47445875e+00
   3.60187772e-01  0.00000000e+00]
 [-3.63353973e+00 -2.78625763e+00 -2.78818950e-01 ... -8.12272936e+00
  -1.10319002e+01  0.00000000e+00]]",noise
6899,6899,"[[-1.16346072e+02 -1.18879796e+02 -1.42566233e+02 ... -1.41455895e+02
  -1.31285598e+02  0.00000000e+00]
 [ 1.00491234e+02  1.14707131e+02  1.45075454e+02 ...  1.48391537e+02
   1.35882108e+02  0.00000000e+00]
 [-9.83799968e+01 -1.08310321e+02 -1.37938221e+02 ... -1.31216759e+02
  -1.10060258e+02  0.00000000e+00]
 ...
 [ 1.91169258e+00  1.03863968e+00 -1.50284602e+00 ... -1.17055225e-02
   4.09994861e-01  0.00000000e+00]
 [-1.01392773e+01 -6.98511699e+00 -1.51655358e+00 ... -6.53189181e+00
  -5.15463123e+00  0.00000000e+00]
 [-6.82984706e+00 -5.76761210e+00 -7.24018419e+00 ... -8.11083555e-01
  -4.83533045e+00  0.00000000e+00]]",noise
6900,6900,"[[-1.16360623e+02 -1.21478915e+02 -1.31388493e+02 ... -1.38600865e+02
  -1.30973736e+02  0.00000000e+00]
 [ 1.15806872e+02  1.25657840e+02  1.41861313e+02 ...  1.41859064e+02
   1.26915882e+02  0.00000000e+00]
 [-1.02630348e+02 -1.10691173e+02 -1.29648655e+02 ... -1.28897560e+02
  -1.10933931e+02  0.00000000e+00]
 ...
 [ 3.57876660e-02  2.67641962e+00  6.89163118e-01 ...  2.21980835e+00
  -6.06839370e-01  0.00000000e+00]
 [-9.29870331e-01 -3.68423323e+00 -1.44988772e+00 ...  1.99866857e+00
  -3.25104138e+00  0.00000000e+00]
 [-1.36303838e+00 -2.21222958e+00 -5.59342206e+00 ... -1.26728700e-01
   3.41736592e-01  0.00000000e+00]]",noise
6901,6901,"[[-123.65347428 -126.26133194 -142.13246117 ... -134.48781166
  -126.3835831     0.        ]
 [ 110.7430165   122.55349961  151.12977589 ...  136.84386749
   119.01840954    0.        ]
 [ -89.22975883 -100.8384828  -127.45862365 ... -119.65947112
  -104.09678971    0.        ]
 ...
 [  -2.31996952   -0.59246316   -3.66617343 ...   -8.94248241
    -7.4565701     0.        ]
 [   1.66602028    0.28377803   -4.24653498 ...   -1.58300359
    -2.23837732    0.        ]
 [  -0.80453335    2.59171316    4.70703597 ...   -7.5887701
    -5.07710268    0.        ]]",noise
6902,6902,"[[-1.22885953e+02 -1.22253826e+02 -1.45973307e+02 ... -1.26171526e+02
  -1.18965749e+02  0.00000000e+00]
 [ 9.98923131e+01  1.14673628e+02  1.44696086e+02 ...  1.34481201e+02
   1.11686798e+02  0.00000000e+00]
 [-9.48821033e+01 -9.85870906e+01 -1.32303976e+02 ... -1.07300263e+02
  -8.82658518e+01  0.00000000e+00]
 ...
 [-5.06672602e+00 -1.40874862e+00 -1.30402027e+00 ... -7.15144072e+00
  -9.35364993e+00  0.00000000e+00]
 [-2.83472452e+00  1.36622862e-01  5.20533160e-01 ...  3.85494979e+00
  -4.98755680e-01  0.00000000e+00]
 [ 3.00478320e+00 -7.83166325e-01 -6.30846410e+00 ... -5.71329674e+00
  -2.00089137e+00  0.00000000e+00]]",noise
6903,6903,"[[-109.59249515  -99.40897232  -72.66833467 ...    0.
     0.            0.        ]
 [ 109.04353212  127.94208144  141.27094756 ...    0.
     0.            0.        ]
 [ -71.7637666   -83.20550826 -112.09573903 ...    0.
     0.            0.        ]
 ...
 [  -3.56736355   -6.37841418   -4.56330483 ...    0.
     0.            0.        ]
 [   6.89309564    4.68765875   -1.77548502 ...    0.
     0.            0.        ]
 [   1.89757204    1.67484636   -0.38896    ...    0.
     0.            0.        ]]",noise
6904,6904,"[[-111.07215021 -101.92362597  -93.73108346 ... -117.08667592
  -113.65668082    0.        ]
 [ 116.6321609   125.96275581  134.50386933 ...   96.45048725
   105.49606157    0.        ]
 [ -98.05824132 -118.94965756 -136.80391283 ...  -99.96055671
   -98.4035025     0.        ]
 ...
 [  -1.68203926    0.69979984    3.057493   ...   -4.93317258
    -4.74877728    0.        ]
 [  -2.6557248    -5.76477964   -8.42068836 ...    1.14408147
     2.99533649    0.        ]
 [   7.4177458     3.70104317   -0.19033043 ...   -7.14122779
    -6.38548498    0.        ]]",noise
6906,6906,"[[-4.60950796e+02 -3.80489755e+02 -3.48208011e+02 ... -1.31029640e+02
  -1.37871742e+02  0.00000000e+00]
 [ 9.32593832e+01  9.78252100e+01  1.05020767e+02 ...  1.05523240e+02
   1.07809048e+02  0.00000000e+00]
 [-4.99402060e+00 -1.00710159e+01 -1.15696365e+01 ... -1.71254320e+01
  -1.29410091e+01  0.00000000e+00]
 ...
 [ 9.05663943e+00  4.69399845e+00  2.20361112e+00 ...  5.05422888e+00
   3.72692826e+00  0.00000000e+00]
 [ 4.40322464e+00  3.49749049e-01  1.45886255e+00 ... -5.83248639e+00
  -6.45945477e+00  0.00000000e+00]
 [ 6.23452920e+00  5.36931813e+00  8.81583544e+00 ... -3.78649706e+00
  -2.01170235e+00  0.00000000e+00]]",noise
6907,6907,"[[-1.89496058e+02 -1.79916413e+02 -1.78616862e+02 ... -1.48261679e+02
  -1.47001397e+02  0.00000000e+00]
 [ 9.11383520e+01  9.89449289e+01  1.04885783e+02 ...  7.96163285e+01
   8.11930461e+01  0.00000000e+00]
 [-1.03619471e+01 -9.67955257e+00 -1.06284716e+01 ... -1.01750344e+01
  -1.61053662e+00  0.00000000e+00]
 ...
 [ 3.95588669e+00 -1.86970693e-01  4.24129990e-01 ...  3.32171558e+00
   3.58746051e+00  0.00000000e+00]
 [-5.73168342e-01 -1.69037658e+00 -3.06176373e+00 ... -3.38146497e-01
  -2.08656225e+00  0.00000000e+00]
 [ 7.11592954e+00  3.65948509e+00  3.45891078e+00 ...  4.60599309e+00
   5.90501824e+00  0.00000000e+00]]",noise
6908,6908,"[[-142.32460526 -146.6626725  -157.91347102 ... -114.36172959
  -119.14055326    0.        ]
 [ 102.20187448  101.17020701   99.23675443 ...   30.48485947
    22.04180994    0.        ]
 [ -18.47669709  -19.21882541  -19.77187501 ...   -2.63116731
     2.59340809    0.        ]
 ...
 [   7.04468602    7.5962126     2.78755709 ...    7.59768889
     3.58620003    0.        ]
 [  -4.17276099   -7.4131079    -8.01349383 ...   -3.33271382
    -9.68362884    0.        ]
 [  -3.89600001   -4.95143537   -3.31165855 ...   -2.72351047
    -8.76143894    0.        ]]",noise
6909,6909,"[[-146.2047327  -141.64096887 -140.29172393 ... -154.78090887
  -155.03071982    0.        ]
 [  60.49621596   65.88960633   66.02565293 ...   65.15416483
    68.05408467    0.        ]
 [  -5.65621583  -14.23733812  -21.77884247 ...  -23.86124646
   -19.77929783    0.        ]
 ...
 [  10.21902625    4.38211477    1.71311496 ...    0.36105021
     2.64335686    0.        ]
 [  -2.00816575   -4.32868374   -7.92638633 ...   -7.11961605
    -4.78058149    0.        ]
 [   2.85556617    2.36602522   -0.26423514 ...   -2.27051537
    -0.53356425    0.        ]]",noise
6910,6910,"[[-1.12927535e+02 -1.14183345e+02 -1.09351273e+02 ... -1.16374202e+02
  -1.20502941e+02  0.00000000e+00]
 [ 1.20083741e+01  1.84786200e+01  2.29322554e+01 ...  6.12884472e+01
   6.23788297e+01  0.00000000e+00]
 [ 3.88774407e+00  6.98879087e-02 -3.98867141e+00 ...  4.68878052e+00
   2.36702734e+00  0.00000000e+00]
 ...
 [ 4.74173753e+00  5.27907897e+00  6.34794061e+00 ...  7.93057625e+00
   6.23713833e+00  0.00000000e+00]
 [-4.83080322e+00 -5.07358013e+00 -6.71408981e+00 ... -4.26595175e+00
  -8.42383373e-02  0.00000000e+00]
 [-4.86048575e+00 -6.24971596e+00 -7.08690759e+00 ... -1.27705762e+00
   2.71118235e-01  0.00000000e+00]]",noise
6911,6911,"[[-156.39744906 -148.60550551 -141.89837246 ...  -64.43493601
   -74.36801715    0.        ]
 [  69.94919927   68.21064499   60.59650937 ...   29.91706422
    21.85188766    0.        ]
 [ -13.12474197  -17.57299515  -26.41725538 ...   -0.45993233
    -3.69524719    0.        ]
 ...
 [   3.54331864    5.38780254    8.2727989  ...    9.772935
     9.05441425    0.        ]
 [  -3.49261809   -2.24475959   -4.03440586 ...   -3.48434416
     1.59229712    0.        ]
 [  -6.98260323   -4.18980322    0.48105282 ...   -0.72808913
     6.20950402    0.        ]]",noise
6912,6912,"[[-59.71268313 -51.43746691 -55.2929342  ... -80.61557879 -83.22007205
    0.        ]
 [ 31.87306884  37.38906056  38.58808082 ...  47.5770437   40.50026244
    0.        ]
 [-24.46926099 -28.03051836 -27.15572908 ... -23.98236396 -22.62245943
    0.        ]
 ...
 [  4.07715494   2.57341992   1.77571917 ...  -6.61547757  -6.13452036
    0.        ]
 [  1.45978188  -1.46961494  -4.86448707 ...   0.21330445  -2.94085996
    0.        ]
 [  4.97174926   4.89107194   4.83964368 ...   4.04770872   3.33497933
    0.        ]]",noise
6913,6913,"[[-5.12120213e+01 -4.46246277e+01 -4.34605386e+01 ... -6.21204097e+01
  -6.40494828e+01  0.00000000e+00]
 [ 4.31639255e+01  4.67562584e+01  4.46720823e+01 ...  4.71965396e+01
   4.41460276e+01  0.00000000e+00]
 [-3.24850904e+01 -3.39474996e+01 -3.55614367e+01 ... -2.90848092e+01
  -2.45079453e+01  0.00000000e+00]
 ...
 [-2.98283839e+00  1.00715616e+00  1.16111059e-01 ...  9.77321689e-01
   4.03592564e+00  0.00000000e+00]
 [ 9.46521322e-02  1.81718313e+00  1.10329299e+00 ...  6.39270851e-02
   1.48479792e+00  0.00000000e+00]
 [ 4.62771048e+00  3.35422276e+00  3.86421350e+00 ...  7.12738369e+00
   6.52052549e+00  0.00000000e+00]]",noise
6914,6914,"[[-121.84967187 -116.49171896 -114.1577872  ... -101.39802517
  -102.94389336    0.        ]
 [  40.67208716   43.24022998   49.42948218 ...   53.41883085
    47.78083769    0.        ]
 [ -68.42212406  -71.20930443  -67.21611998 ...  -61.38838756
   -54.17704515    0.        ]
 ...
 [ -10.55802239   -9.25878441   -5.48097669 ...   -1.33970589
    -0.50282804    0.        ]
 [  -4.6270452    -7.20014635   -6.01296002 ...    2.46708513
    -1.4968612     0.        ]
 [  -8.03323518   -8.95497643   -1.28182612 ...   -4.8007235
    -4.67223896    0.        ]]",noise
6915,6915,"[[-9.41250890e+01 -8.94076581e+01 -8.93924114e+01 ... -9.70319625e+01
  -9.28030805e+01  0.00000000e+00]
 [ 5.54963922e+01  5.84963240e+01  6.05805152e+01 ...  5.24119550e+01
   4.87735067e+01  0.00000000e+00]
 [-5.83388771e+01 -5.71585051e+01 -6.26291756e+01 ... -6.03139789e+01
  -5.67554574e+01  0.00000000e+00]
 ...
 [ 2.10726585e+00 -3.13079512e+00 -6.42025970e+00 ... -2.95336766e+00
  -1.57803500e+00  0.00000000e+00]
 [ 4.04058167e+00  2.67690571e-01 -5.91097214e+00 ... -6.35656773e+00
  -9.39577645e-01  0.00000000e+00]
 [ 3.31499414e+00  2.43525676e+00 -8.22599479e-02 ...  3.31118814e+00
   8.49867053e-01  0.00000000e+00]]",noise
6916,6916,"[[-97.99886558 -91.11681161 -93.89633579 ... -48.85074325 -46.72905025
    0.        ]
 [ 47.81555169  59.49367924  64.69518135 ...  45.62803006  42.04042565
    0.        ]
 [-61.38311923 -58.43622841 -57.87263368 ... -27.05921996 -29.11813817
    0.        ]
 ...
 [ -1.49163743  -2.47700191  -0.46284698 ...  -1.99415364   1.29996348
    0.        ]
 [ -2.06463972  -4.42691296  -3.92648712 ...  -1.14515454  -2.10955079
    0.        ]
 [ -8.27053464  -3.81127381  -0.6348037  ...   1.04208733  -2.52107465
    0.        ]]",noise
6917,6917,"[[-74.44621053 -69.59220721 -69.70857471 ... -57.23927349 -56.89765547
    0.        ]
 [ 39.42127949  43.36070026  44.95325774 ...  44.60165759  49.61909654
    0.        ]
 [-27.03894669 -27.93092961 -29.53257132 ... -28.07197729 -23.40183823
    0.        ]
 ...
 [ -5.54643798  -0.75795709   3.62015826 ...   1.48784952  -3.95607625
    0.        ]
 [ -7.67464738  -3.21013897   0.75642269 ...  -2.84477254  -3.22463282
    0.        ]
 [ -2.66952189   0.70326871   2.27170209 ...  -5.29361912  -6.10517017
    0.        ]]",noise
6918,6918,"[[-58.47534377 -55.20073607 -62.6898185  ... -62.84622814 -61.3635316
    0.        ]
 [ 39.51387714  44.08972429  43.72790946 ...  44.6553347   38.45831576
    0.        ]
 [-26.61387806 -29.40623761 -30.71250627 ... -25.730086   -24.57132909
    0.        ]
 ...
 [ -4.8511557    1.02053062  -0.09522723 ...   1.32801077  -0.9563076
    0.        ]
 [ -7.02588334  -3.3974374   -4.1477838  ...   1.69186468  -1.75261639
    0.        ]
 [ -1.93199003  -5.21167712  -4.26131052 ...  -0.76497531  -2.22139028
    0.        ]]",noise
6919,6919,"[[-63.5225171  -62.14122959 -64.09308704 ... -73.81104796 -78.23226776
    0.        ]
 [ 46.13569718  48.01985783  50.81109696 ...  41.79841656  42.19306033
    0.        ]
 [-18.78928748 -22.45553844 -24.0680059  ... -30.91730395 -24.86369757
    0.        ]
 ...
 [ -5.96055385  -3.19750963  -0.94741273 ...  -1.04959639  -4.59132159
    0.        ]
 [ -2.67232274  -1.89499445  -0.33616191 ...  -4.41597279  -4.70995474
    0.        ]
 [ -0.20090933   1.45969836   0.8776979  ...   0.72383647  -0.93763371
    0.        ]]",noise
6920,6920,"[[-8.10276847e+01 -7.12678873e+01 -7.22975489e+01 ... -6.59545452e+01
  -6.61507548e+01  0.00000000e+00]
 [ 3.84360632e+01  4.32515147e+01  4.60202079e+01 ...  4.01877273e+01
   4.08390222e+01  0.00000000e+00]
 [-2.94230093e+01 -2.99730389e+01 -3.16767011e+01 ... -2.42452919e+01
  -2.08639595e+01  0.00000000e+00]
 ...
 [-4.94993049e+00 -2.49888609e+00 -6.14501447e-01 ... -4.63908836e+00
  -9.15250084e-01  0.00000000e+00]
 [-4.28903100e+00 -3.38522656e+00 -3.91216152e+00 ... -1.79079598e-02
   4.50846989e-02  0.00000000e+00]
 [ 2.39831658e+00  2.43915620e+00  1.32011624e+00 ... -7.16788836e-01
  -2.03620868e+00  0.00000000e+00]]",noise
6921,6921,"[[-136.41454923 -131.67354178 -129.9189054  ...  -68.72769857
   -69.56423871    0.        ]
 [  56.92961709   61.79901797   64.796548   ...   34.30227993
    24.55106409    0.        ]
 [ -47.72106957  -47.00470084  -50.13829375 ...  -16.0506621
   -16.04946512    0.        ]
 ...
 [  -1.21911444    0.75515611   -2.22348493 ...    2.8283284
     5.43120256    0.        ]
 [   3.82244222    1.90827239   -4.05312063 ...    2.17563103
     8.84033011    0.        ]
 [   1.85297841    0.63665975   -1.86375228 ...   -1.17068107
    -3.03721462    0.        ]]",noise
6922,6922,"[[-64.58653441 -60.17375439 -61.11785834 ... -55.09330197 -53.17110003
    0.        ]
 [ 34.34417218  40.82465671  43.826438   ...  26.19665999  28.73398497
    0.        ]
 [-16.86481153 -19.93858031 -23.82437902 ... -39.0796     -38.90408146
    0.        ]
 ...
 [ -1.7845219   -2.62300529  -0.83603617 ...  -3.49701623   1.88338843
    0.        ]
 [ -2.30213716  -1.73447582  -1.3328862  ...   1.24110507  -0.30878008
    0.        ]
 [ -0.63927024   3.05920047   5.82355057 ...   4.05792915   3.41488143
    0.        ]]",noise
6923,6923,"[[-87.13679783 -79.50473609 -81.43220221 ... -66.90448442 -70.70099474
    0.        ]
 [ 39.65947591  44.11352874  46.19088703 ...  37.39266978  32.56396896
    0.        ]
 [-29.40295121 -29.06927339 -25.99514678 ... -17.37220601 -19.97834003
    0.        ]
 ...
 [  3.14157635   2.64397787  -2.01467193 ...   0.16678222   0.11140218
    0.        ]
 [ -3.40899392  -5.37449443  -7.95568408 ...  -5.56377433  -3.90110717
    0.        ]
 [  0.15441792   1.85211428   5.02133765 ...   0.17103201  -3.34137398
    0.        ]]",noise
6924,6924,"[[-70.18320651 -64.80386571 -68.5825383  ... -41.46213807 -38.24570003
    0.        ]
 [ 36.29903252  36.12435281  35.81052132 ...  48.8885284   50.9349331
    0.        ]
 [-21.40886439 -24.44336146 -23.1151469  ... -25.56548865 -23.28102347
    0.        ]
 ...
 [ -4.32581971  -3.963095    -3.03761512 ...  -2.11478151   1.92884073
    0.        ]
 [  3.34664017  -0.37848038  -6.29396901 ...  -5.19607011  -1.92633148
    0.        ]
 [ 10.45376252   5.09499727   2.06356539 ...   0.78770998  -0.4845952
    0.        ]]",noise
6925,6925,"[[-88.29356579 -82.2771302  -77.35372183 ... -59.83268893 -59.96090075
    0.        ]
 [ 36.59159756  38.23087007  37.85064355 ...  37.65327362  36.10700764
    0.        ]
 [-24.60175865 -29.23627187 -31.80159844 ... -27.68933945 -27.27379617
    0.        ]
 ...
 [ -0.10882614  -1.38078097   2.10305349 ...  -4.30233996  -6.80659733
    0.        ]
 [ -3.56208796  -3.20689891   0.80801259 ...  -2.60696302  -0.97403335
    0.        ]
 [ -6.01944778  -2.34094269   1.39209656 ...   1.32025167   1.51239426
    0.        ]]",noise
6926,6926,"[[-62.92724448 -59.23879285 -58.32831204 ... -59.50490378 -59.03319067
    0.        ]
 [ 38.20748173  40.07801501  41.43695058 ...  37.17633978  41.04257598
    0.        ]
 [-16.81627269 -21.01641312 -23.07462146 ... -19.33821181 -18.76555926
    0.        ]
 ...
 [  1.93002149   1.82048396   1.49860609 ...  -1.18914782   1.49367961
    0.        ]
 [ -2.93380727  -0.33377022  -5.18905021 ...  -0.6639786    0.68200272
    0.        ]
 [  3.21821844   1.98284507  -1.80187907 ...   2.81491956   1.35540665
    0.        ]]",noise
6927,6927,"[[-74.47144629 -70.42146465 -74.63736443 ... -68.40957375 -72.40427007
    0.        ]
 [ 33.07027694  41.18415274  40.57501318 ...  38.32551215  39.68321717
    0.        ]
 [-26.21028553 -26.88188686 -27.14499028 ... -24.80538541 -21.54965104
    0.        ]
 ...
 [  4.32820246   3.54913534   2.41992801 ...   1.54794113   3.11670445
    0.        ]
 [ -2.27954214  -2.45504703  -1.21651776 ...   2.76663887   2.99940173
    0.        ]
 [  8.78956745   4.19818654   3.32111698 ...   0.46091391   0.46595834
    0.        ]]",noise
6928,6928,"[[-57.87078476 -56.25202058 -54.95502168 ... -37.1377333  -39.46894747
    0.        ]
 [ 40.0563801   42.68644956  43.78716396 ...  31.75729246  17.5470978
    0.        ]
 [-28.48035195 -28.21807437 -28.33604758 ... -20.69834843 -24.14970844
    0.        ]
 ...
 [ -1.14620224   3.94252972  -1.4614699  ...   0.67433747  -5.29528831
    0.        ]
 [  1.43619345   3.38927129  -3.14102971 ...   0.50356332  -3.23638202
    0.        ]
 [  1.86032202   1.74639463   1.12364532 ...   4.65812746   2.1669835
    0.        ]]",noise
6929,6929,"[[-75.63723205 -70.7366536  -66.99958995 ... -69.91919484 -73.98297406
    0.        ]
 [ 25.18766144  32.20074983  35.46911018 ...  40.26941966  39.15864944
    0.        ]
 [-18.92235789 -17.90989621 -21.38422159 ... -25.31981954 -20.93303914
    0.        ]
 ...
 [ -2.73456776  -0.61771562   0.61275232 ...  -2.54827334   2.3164708
    0.        ]
 [ -0.44951034  -1.62831351   0.12470776 ...  -6.83547423   1.09659024
    0.        ]
 [  9.66300718   4.80910857   3.19669879 ...   0.77345289   1.34207528
    0.        ]]",noise
